"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4"
"2.006248552/403.9208524","0.1907524","0.2328864","0.2970242","0.3551889","0.2659752","0.9372151","0.3694113","0.2923256","0.8254914","0.4046882","0.3643564","0.9764820","0.6540067","0.4226411","1.0458408","0.9112298","0.6163989","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.2402510","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.3410309","2.0817881","0.9232427","3.4284688","2.7583611","2.3065936","2.9046091","3.2389978","3.3849117","3.9605921","3.6062028","3.6070726","4.3339305","2.5712877","3.5146778","4.5701919","3.9922999","4.2535047"
"3.094347915/399.203072","0.5091693","0.2328864","0.5167112","0.9809554","0.7729689","0.7335815","0.9250063","0.7507498","1.0646267","0.9322031","1.0877041","1.0938181","1.1817216","1.2120454","1.2448846","1.2966041","1.2871800","0.9794763","1.0869228","0.9811651","1.9693188","2.0252591","2.1033804","1.3738918","2.1828890","1.5752221","2.0448986","1.6287054","2.2037179","1.9029242","2.1897178","2.3649260","1.9216086","2.3277681","2.3039206","1.5692517","2.3906168","0.6467000","0.4899721","1.7360676","1.3836099","1.4696793","1.0243522","1.5708157","1.9867966","1.4253860","1.5529225","1.4901841","1.9069372","1.1990745","1.9281972","1.8636514","1.8568160","1.6925352"
"2.007195227/401.9239148","0.3330465","0.2328864","0.3307413","0.3544012","0.2659752","0.9826451","0.4284565","0.2923256","0.8542792","0.6929123","0.5847128","0.7478221","1.0180695","0.6917627","0.8391018","1.1868433","0.6499386","0.1858414","0.2205402","0.3382467","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.3398888","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","2.1757027","1.4041929","3.5460173","2.7566185","2.3613041","2.9917001","3.2355443","3.4525115","4.0809375","3.6182409","3.6964921","4.4426609","2.8682048","3.6152124","4.7065729","4.0039959","3.8989055"
"6.044660131/287.2223966","1.0685464","0.9181381","1.2116697","1.3746633","1.4070275","1.4302614","1.2249400","1.2674921","1.5622067","1.3563076","1.6461505","1.6016896","1.4906855","1.7200699","1.4578756","1.4799527","1.7563999","1.4994632","1.5918121","1.5813552","2.0539304","2.0425590","1.6417031","1.8511787","2.1248346","2.0009785","2.1328179","1.9683462","2.2283711","3.1185765","2.0776217","2.2328052","2.4070897","2.1586236","2.1667674","3.4564299","2.2217001","0.8495551","0.6974779","0.7294668","0.9368804","0.7409447","0.8533902","1.0328738","0.7916137","1.0018270","0.9101738","1.1086698","0.7132832","1.4801558","1.3282178","1.0398453","1.1105466","1.4368825"
"2.567533031/297.9412005","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.6692503","0.3924016","0.5713344","2.4765102","2.7958344","2.6386536","1.6927775","2.9636792","3.3884424","2.9852688","1.8931629","3.3828913","3.9854715","3.2847086","4.1903405","4.6809457","3.6620013","3.8726734","4.4560145","4.2118297","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.3446797","0.2616723","0.1889901","0.3879692","0.3711559","0.1896299","0.2430314","0.3538722","0.1857860","0.3178522","0.2490272","0.2157085"
"3.011613091/340.223579","0.6766600","0.9557465","0.9018011","1.8735262","1.7373200","1.6588658","2.0063737","1.8478144","1.8331930","2.1086688","1.9724748","1.9991468","2.2315727","2.2387874","2.1804839","2.3776423","2.4154941","0.4526322","0.7245789","0.6001972","1.8166610","1.6737262","1.8110384","1.9618078","2.0806250","1.7726868","2.2296641","2.3563903","2.7069870","2.2325325","2.3323983","2.9879971","2.8281856","2.6439937","2.9593342","2.5139454","2.8382661","0.4969926","0.5040907","2.0893179","1.7879509","1.8927842","2.2041258","2.0630252","2.1431008","2.3306532","2.2947036","2.0269320","2.2430130","2.0187392","2.3878125","2.3894101","2.5085976","2.4772403"
"3.248800026/855.4403523","3.3986736","3.3293816","2.8722384","4.6887773","4.2275274","3.7145511","4.5737597","4.4026328","4.4610597","4.7476404","4.6958352","3.5622290","4.0890092","5.2168828","5.0544368","5.1837479","5.6366956","0.7671741","0.5311748","0.4976292","0.8064066","0.7651610","0.7287347","0.3760829","1.2971839","0.6822018","0.4962885","0.4606372","1.3558607","0.7830083","0.5765639","1.5315292","1.4504076","1.0894508","1.1025366","0.3850708","1.3577541","0.2083406","0.1905419","0.1859542","0.2820428","2.0157628","0.1836315","0.2616723","2.2565763","0.1905475","0.1975231","2.1503389","0.2430314","0.3538722","2.4203613","0.1839179","0.2490272","1.2950050"
"2.009071463/365.9471437","0.1907524","0.2328864","0.3415487","0.4675121","0.2659752","0.9771523","0.4479221","0.4335423","0.7500003","0.6268393","0.4691524","0.8331610","0.7230802","0.5072230","0.9927524","0.8090153","0.6639722","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","2.2125805","1.3498131","3.4916052","2.9772549","2.1472026","2.9991150","3.4635597","3.1915159","4.0976690","3.6482576","3.3970894","4.5172010","3.3929314","3.3402127","4.5897010","4.0504352","4.0538449"
"4.771553877/197.09696","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.7898170","0.8936289","0.9803399","2.0769822","2.0560918","2.0151597","1.7630029","2.2561474","2.0636546","2.1636946","2.0254503","2.4688074","2.2303216","2.3009813","2.6682060","2.7844697","2.3531009","2.7111141","2.3542232","2.4858092","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.5239122","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
"2.586013966/251.9361042","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.6102721","0.6355987","0.4443296","2.4226740","2.5704584","2.4439907","1.5453211","2.8788521","3.2649533","2.7445827","2.0298709","3.3188624","3.7976335","3.0426935","4.1023529","4.5727779","3.4543713","3.8940662","4.4651455","3.6831424","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.3657119","0.2616723","0.1889901","0.3886763","0.3537796","0.1896299","0.4521143","0.3538722","0.1857860","0.5067351","0.2490272","0.2157085"
"2.889078205/471.2241457","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.9040731","0.9012595","0.8678516","2.2655387","2.8661536","2.3020256","1.1614598","2.8364275","3.1449291","3.1711199","1.5381312","3.3867136","3.1162949","3.5198723","3.8682360","4.3386883","3.0820839","4.1343935","4.1666909","3.9566894","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.2430314","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
"4.941576845/518.0851345","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.4249098","0.1891223","0.1922293","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.4974332","0.1646155","0.1901085","0.3374740","0.4297919","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.4846047","0.1895645","0.3850708","0.2116913","1.5451840","1.6461155","2.0382587","2.2811196","2.5094490","3.0442744","2.0028528","2.7348973","2.8241189","3.9192827","2.3794454","3.8105769","2.1067104","2.9621852","3.6478622","3.4703721","2.8424148"
"2.115431739/567.0672857","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.3494490","0.1843199","0.2313887","0.3921438","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.3457078","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.3760074","1.4131793","1.2991542","2.3780571","2.1514518","1.9716679","2.6096957","2.6415997","2.3486060","2.9642823","2.8448669","2.4514153","3.1888976","2.9901437","2.6616397","3.1644510","3.2255444","2.8375179"
"2.115801466/605.0422092","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","1.1898223","1.1717958","2.3157143","1.8664658","2.1116255","2.5232698","2.1031416","2.4725040","2.9728751","2.7415622","2.3717520","2.7639663","2.3733460","2.7847078","3.3165434","2.8801606","2.7617833"
"2.096027571/289.0931039","0.9118799","0.8805032","1.0682295","1.0822723","1.3290136","0.9287105","0.9726364","1.0693001","1.1734365","0.8756826","1.4717234","1.2914323","1.1332261","1.7489641","1.2216092","1.0030248","1.5966111","0.9258538","1.0655292","1.1731543","0.8748164","0.7540279","1.0825249","0.7288889","0.9084801","0.3374740","1.3595615","0.7444430","0.8502244","0.7793425","1.0609480","1.4296708","0.3768527","1.0459952","0.9577877","0.5638443","1.1119420","0.9179467","0.8667258","3.5454385","1.7612024","2.3066314","2.8753798","2.4532436","3.5084610","3.7119106","2.7676279","3.1897852","3.2596252","2.6340195","3.2409132","3.5614887","2.8083293","2.8049105"
"3.070992298/342.2392125","1.6746646","1.7353747","1.7580701","2.5917143","2.4380674","2.3914364","2.7389684","2.6496408","2.7273453","2.8687829","2.7974209","2.8820173","3.0595419","3.1309843","3.2151707","3.2349713","3.2662188","0.4129393","0.4126451","0.5229176","1.2805363","1.7470145","1.9508380","2.1142182","2.2079882","1.9030869","2.4393084","2.7401194","3.0833206","2.7726636","2.6179687","3.4242735","3.1645839","2.9688892","3.7508059","3.0994563","3.6650334","0.7255395","0.6985369","2.2582217","1.9613170","2.2301938","2.4797844","2.3152540","2.6433126","2.7230223","2.7017773","2.5077683","2.9030207","2.6857280","3.0669247","3.0290643","3.1989306","3.1530863"
"2.92278929/406.2339121","0.6063238","0.5750978","0.6517433","1.2898554","1.2744297","0.1890785","1.4779087","1.2927668","0.1881105","0.1874053","1.2031249","0.1880468","0.1853669","1.8404890","0.1884342","0.1891223","2.0377441","0.7453756","0.7843391","0.9027296","1.7598645","1.8340366","1.7614560","1.2099781","2.0339760","1.5221768","2.0198966","1.3177164","2.2724624","2.0769397","2.0515403","2.3715443","2.3620722","2.0767208","2.4305388","1.9638084","2.1701642","0.4457800","1.4832669","1.3766547","2.2461991","1.3393920","1.5578104","1.4533055","1.4820762","1.5975885","1.7898423","1.3000425","1.5432685","2.2458226","1.5436343","1.5684474","1.8731755","1.5111837"
"2.11836006/513.1482648","0.1907524","0.2328864","0.3831079","0.1918572","0.2659752","0.4291065","0.1871936","0.2923256","0.3890948","0.1874053","0.2111813","0.4506375","0.1853669","0.2044198","0.3618067","0.1891223","0.1922293","0.1858414","0.2205402","0.3624849","0.1843199","0.2313887","0.6281026","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.3921209","0.2308208","0.3768527","0.7320917","0.1895645","0.3850708","0.4088655","0.7018451","1.1450986","2.0987267","1.7610602","2.7849986","2.2981996","2.0070204","3.2623427","2.5069154","2.4899865","2.9561191","2.5043274","2.1933986","3.5629440","2.6933934","2.6541549","3.2757448"
"2.260423764/272.1612049","0.1907524","0.2328864","0.4535921","0.8908598","0.4511325","0.6482005","0.7788004","0.5009860","1.0030323","1.0634836","0.9444299","1.0938342","1.2361390","1.1335977","1.2149523","1.2575720","1.1413703","0.5553747","0.6519773","0.5654558","1.4529858","1.5547508","1.8287668","1.6027045","2.0709257","1.5681869","2.3927870","2.4210432","2.6404040","2.4347425","2.4351132","2.4884715","1.2273482","3.0173456","2.6583688","2.7383327","3.4895406","0.5893054","0.6016185","2.0077337","1.3680592","1.1850173","1.9289258","1.2482216","1.7883851","1.8232671","1.6185151","1.1838126","2.5563899","1.6962258","1.9715917","2.1304721","1.7743165","2.2662693"
"2.115997882/607.1297296","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.3615693","0.1843199","0.2313887","0.3669468","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.3743177","0.1895645","0.3850708","0.3666733","1.5659047","1.3674523","2.3856714","2.7004482","2.2833497","2.5996565","3.0475136","2.4941650","2.9565271","2.8450483","2.6317340","3.5547702","3.5274692","2.6939184","3.1055078","3.5131834","3.2540185"
"3.728923891/486.1874255","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.8487139","1.2257442","0.9622392","1.5181264","1.9502125","1.4451189","0.7740706","1.8819495","1.6562303","2.2250959","1.3704680","1.8421776","1.9912387","1.9665464","1.9290586","2.4532616","1.9985049","2.1955487","2.5940609","2.2673873","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.2430314","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
"2.010921407/367.9441404","0.1907524","0.2328864","0.3442127","0.1918572","0.2659752","0.5735152","0.1871936","0.2923256","0.6201260","0.4272275","0.3931536","0.5153585","0.5138827","0.4027605","0.6188212","0.6425470","0.4581243","0.1858414","0.2205402","0.1921864","0.3311666","0.2313887","0.3468021","0.1646155","0.1901085","0.4568427","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","1.8537960","1.1718810","2.9318498","2.5417527","1.8190074","2.4007037","2.7131700","2.6856821","3.8203214","3.0567145","2.8846102","3.7852301","2.5314159","2.8300243","3.9132437","3.4237980","3.4246184"
"3.106540905/756.3721087","1.7665367","1.7730271","1.6511786","2.5352003","2.2379349","2.2442784","2.5427195","2.2923728","2.3329672","2.5454667","2.5587407","2.3960389","2.7946279","2.7637943","2.5887191","2.8442591","2.9410136","0.4747815","0.5245458","0.4078703","0.8494660","0.7184880","0.6304953","0.3712464","0.6091464","0.3374740","0.4763631","0.3555341","0.6822434","0.5886494","0.5435272","0.9617034","0.9459214","0.7666716","1.3040590","0.8300544","0.8501006","0.2083406","0.1905419","0.1859542","0.2820428","0.6915953","0.1836315","0.2616723","0.7076316","0.1905475","0.1975231","0.6212705","0.2430314","0.3538722","1.0842768","0.1839179","0.2490272","0.3708226"
"2.113997377/638.0133573","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","1.0561955","0.9512245","2.2504964","1.8181274","1.9689349","2.4636878","2.0775517","2.4095271","3.1372813","2.8850997","2.3433924","2.7073253","2.0903043","2.6692304","3.5150448","2.9785269","2.8059031"
"2.759400046/326.2079639","1.5734662","1.3122724","1.5745091","2.4857501","2.3169279","2.1773376","2.5814083","2.4731607","2.4499223","2.7306867","2.6759528","2.5930513","2.9300425","2.8905968","2.9096123","3.1360985","3.0547801","0.4734900","0.4961094","0.5946612","1.6176819","1.5324618","1.6875193","1.3304863","1.5441578","0.7177109","1.4000724","1.3259714","1.6417213","1.4842915","1.5186054","1.7592337","2.5725378","1.8294399","2.0222155","2.2287994","1.7567503","0.8093959","0.7321573","1.7484497","1.6244546","1.9022623","1.9170608","1.9015616","2.3338759","2.0730211","2.2754731","2.2845295","2.1877456","2.1299009","2.7644021","2.3886324","2.6899581","2.8747510"
"2.065833836/317.0497512","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.4422825","0.1853669","0.2044198","0.5856663","0.1891223","0.1922293","0.3805035","0.4273272","0.4058719","1.4475811","1.2193683","1.4236584","1.2828793","1.4907921","0.8749348","1.4339535","1.5760158","1.6407334","1.3988887","1.6351254","1.8038700","1.4705674","1.6842777","2.0465224","1.1780321","1.8832585","0.7044924","0.6334720","2.3801938","2.3501039","1.9971678","2.5028024","2.6123325","2.2290927","2.7556764","2.4940018","2.2295726","3.4395529","2.7200221","2.4035064","2.8058041","2.9343099","2.7500384"
"2.085158224/279.1344881","1.1014960","0.9098777","1.2722088","2.0010496","1.3487768","1.9564551","2.1435929","1.7873896","2.1311433","2.8364804","2.1691340","2.8796053","3.1593569","2.9201499","3.3444732","2.7545030","2.7247225","0.1858414","0.2205402","0.3330122","0.5827154","0.3987390","0.7847847","0.3492816","0.6972838","0.3374740","1.0602994","0.5807414","1.1970793","0.5843616","0.8247099","0.9815664","0.5540092","1.1422660","1.5703916","0.5729522","1.3904575","1.0571330","0.8993680","2.1723016","1.8138150","1.7561915","2.4456108","2.1643615","2.8200561","2.3065597","2.6210124","2.6342232","2.8622735","1.9882415","2.9071067","2.4666843","3.1245175","2.4729418"
"5.968198599/237.1493389","1.1227604","1.3252678","1.4346304","1.3717240","1.4712420","1.9307170","1.6450126","1.4693687","2.1692487","1.5839061","1.7935999","2.3143533","1.8844623","2.0256572","2.8730075","1.8808449","2.0796542","1.0457947","0.7606986","0.5511477","1.6087078","0.7669634","1.1306353","1.2930633","1.6683336","1.1951264","1.2388579","1.4404250","1.7700133","1.0705668","1.2560241","1.7071301","1.3185480","1.6257170","1.9361166","0.7147334","1.6093716","0.5917889","0.6649036","0.7217756","0.5431250","0.4207729","0.9119364","0.4888066","0.6714723","0.5880621","0.9657426","0.5934950","0.4907637","0.7645384","0.7277371","0.4604659","0.9752950","0.5409032"
"2.114807208/613.1466917","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.1812455","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","1.2621029","0.7220049","1.9347490","2.2506742","1.8029305","2.1448455","2.4603871","1.9529138","2.3000430","2.2118986","2.1547095","2.9127031","2.7720923","2.1480154","2.3881814","2.7791089","2.5465268"
"2.317928407/300.1923166","0.5179535","0.5336754","0.8017834","1.6043313","0.7379786","1.6126923","1.7373886","0.7874147","1.7783561","1.8424363","1.8610777","1.9892368","2.0636634","2.1352234","2.2230118","2.1828045","2.2682856","0.3449262","0.4350081","0.6318372","1.4400529","1.2666392","1.5006876","1.3187719","1.8439382","0.7007846","2.0227978","1.7800498","2.3510142","1.9408408","2.0261639","2.6038907","2.2497980","2.4833160","2.9712833","2.3292157","2.9033533","0.7396444","0.4894063","1.9916725","1.8513517","2.0110467","2.3313499","2.0743569","2.3344057","2.5258233","2.5306245","2.2228882","2.7654288","2.6177789","2.9363978","2.9438009","3.0245329","3.1730817"
"2.239079878/298.1766273","0.6288267","0.4932524","0.6873443","1.9492811","1.5584227","1.4190879","2.0013828","1.4426247","1.6318783","1.9619863","1.8317902","1.8998974","2.1441873","2.1823917","1.9750708","2.1487649","2.1202351","0.4871370","0.4223133","0.4171381","1.3054775","0.9382820","1.4287457","0.4534643","1.8050659","0.7590766","1.3037954","0.9223042","1.6317901","1.1867276","1.2439183","2.4494377","1.1003303","1.6611430","2.1922636","1.1037300","2.1004478","0.5445307","0.3916890","1.6782000","0.7013813","1.6315614","1.2031049","1.6514088","1.8697806","1.4120329","2.0247643","1.3150643","1.9385146","1.0049917","2.0748652","1.5528316","2.2230146","1.7414513"
"2.526198446/213.022317","1.8337741","1.2092744","1.3489184","1.5830556","4.6620751","1.7817287","1.2760812","4.2913777","1.3421745","1.7859123","4.2876314","1.2858514","1.4394003","4.5613718","1.5358439","1.4727457","4.5573293","1.0950005","1.2023791","1.3777853","1.3539566","0.6871771","1.2204104","1.4589446","1.5871584","0.6490312","1.4670065","1.2437073","1.5173591","0.6342909","1.4121895","1.2182557","0.8042701","2.0027233","0.8606935","0.7856011","1.3412319","1.9581255","1.3691636","1.4239539","0.7820174","1.9017344","1.0939923","0.8850183","2.2323583","1.5903526","0.7496584","1.9616331","1.8459512","0.8195647","2.0579484","1.2163674","0.9799410","1.9504043"
"1.159413811/275.8807509","0.1907524","0.4422565","0.3660549","0.3760728","0.5978032","0.6179171","0.3793343","0.8553653","0.7180689","0.5001635","0.5230698","0.4856192","0.4132316","0.2044198","0.6261301","0.1891223","0.5133627","0.5206590","0.4222079","0.5024803","0.4720042","0.5945717","0.4212603","0.1646155","0.5139545","1.3005837","0.3396836","0.1559899","0.5686561","1.0812631","0.4055369","0.5584194","1.5707427","0.4387979","0.3583802","1.4101662","0.4912295","0.8212321","0.4007042","2.0474864","1.0217531","1.4009631","1.7864696","1.6711870","2.1853662","2.9676323","1.8147200","2.0000839","1.6457502","2.6869523","2.2945411","2.9598458","2.2744222","2.8216396"
"2.48946456/364.1873892","0.5226927","0.5638398","0.7602922","1.4147148","1.1352146","1.3118830","1.5012969","1.3924286","1.5213620","1.5803305","1.6328680","1.7580148","1.8675132","1.9121688","2.0704637","2.0167237","2.2428810","0.1858414","0.2205402","0.3771781","0.8723869","0.8470041","0.6935325","0.6450428","0.9886636","0.3374740","1.1475246","1.3640641","1.2641669","0.6763712","1.0961981","1.7515412","1.1899183","1.7056717","2.0559408","1.1747430","2.0741480","0.7766625","0.7596577","1.8712141","1.7712304","1.8949583","2.0646991","1.9399114","2.1622117","2.1356242","2.3540053","1.9018159","2.2774189","2.1108853","2.3431984","2.1871316","2.6457818","2.2436281"
"2.387470167/178.0871065","0.5497051","0.7026724","0.4140304","0.5925856","0.7077294","0.4819574","0.4002355","0.7616907","0.5864644","0.5658271","0.6460641","0.4674792","0.5807109","0.5025284","0.5782169","0.6886207","1.1376333","0.9368904","1.2161352","1.2457049","1.7855852","1.8576924","1.7295124","1.8148677","2.1026643","2.0805089","1.9502367","1.9689737","2.3501608","2.4924070","2.1545658","2.7680715","2.7114515","2.3509698","2.7617753","2.5992470","2.5682350","0.5691573","0.4244839","1.0746535","0.7029854","0.5472133","1.1496749","0.7454640","0.5639113","0.8776890","0.5823562","0.5414083","0.9311706","1.1614213","0.6369384","1.0376531","0.8006093","0.9791181"
"2.117291616/640.0106199","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.1890785","0.1871936","0.2923256","0.1881105","0.3320350","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.1858414","0.2205402","0.1921864","0.1843199","0.2313887","0.3483611","0.1646155","0.1901085","0.3374740","0.1836773","0.1559899","0.2043778","0.3024588","0.1882822","0.2308208","0.3768527","0.1937674","0.1895645","0.3850708","0.2116913","0.9342760","0.7554096","2.2328344","1.5006997","1.9256758","2.4303540","1.9607381","2.3042978","3.0432921","2.7774939","2.2484709","2.6078422","1.9758304","2.6161918","3.4295271","2.8585469","2.7498166"
"2.875406011/300.1923413","0.1907524","0.2328864","0.1830081","0.6550611","0.2659752","0.4896682","0.6807136","0.5739844","0.9837027","0.7385232","0.6158020","0.9060110","1.0509941","0.6843810","1.1747455","0.9084748","1.0026005","0.3831956","0.7882141","0.7010898","1.2163491","1.4486838","1.9623428","0.9343766","2.3249544","1.6010568","1.6471552","1.1319431","2.0310407","1.7975280","2.9579665","2.0503015","2.3197153","1.9414848","2.3688051","1.9532013","2.5894255","0.3685699","0.3838035","1.2929437","0.8907439","1.4313567","1.5988862","1.6929135","1.4889143","1.6093047","1.6072726","1.5734520","1.3780238","1.5251583","1.9230578","1.8719405","1.7961140","2.2145708"
"3.953221768/521.3337493","0.1907524","0.2328864","0.1830081","0.1918572","0.2659752","0.3964614","0.1871936","0.2923256","0.1881105","0.1874053","0.2111813","0.1880468","0.1853669","0.2044198","0.1884342","0.1891223","0.1922293","0.3817368","0.4433880","0.5317146","1.7514465","1.9749644","1.8992302","1.1518924","2.0014475","1.7155620","2.1967613","1.5309361","2.3077724","2.4285879","2.3482470","2.4714458","2.8485158","2.5039988","2.5803834","2.5530093","2.6391836","0.2083406","0.1905419","0.1859542","0.2820428","0.1845282","0.1836315","0.2616723","0.1889901","0.1905475","0.1975231","0.1896299","0.2430314","0.3538722","0.1857860","0.1839179","0.2490272","0.2157085"
"1.890365463/285.9276176","2.7943568","1.7848040","2.3046431","5.5703247","4.5001046","5.7037776","6.1904826","5.3562203","6.9243932","9.0024782","6.2901487","7.7938367","9.8594298","7.7374211","9.2351687","8.9334631","7.8546037","0.6001713","0.4548568","0.5311181","0.3489555","0.5273069","0.4132920","0.3133043","0.3428578","0.7627314","0.1836773","0.2612158","0.4071067","0.5128220","0.3072737","0.5583310","0.5813758","0.3410653","0.3648775","0.6801185","0.3786350","0.4529530","0.4435178","0.7001826","0.7167776","2.1715127","0.3530640","0.4985079","2.6678545","0.4586816","0.4842227","3.7156542","0.5947519","0.6414747","3.8346177","0.5738137","0.4515448","1.7947609"
