Sample,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4
CITRULLINE,1.391306134,2.069127396,2.262430518,0.638848104,4.878414118,5.277893161,4.425117776,3.517030391,4.881675865,4.521252302,6.13395914,7.356037887,5.297095351,5.199481787,5.676883885,4.489304727,6.385290933,5.264810808,7.327255554,6.555227747,5.512109693,5.956038624,4.974534808,4.784090945
CREATINE,1.761398446,1.879531752,1.736331282,1.418121863,1.517813988,1.866697934,1.703874719,1.464187824,1.369779756,1.717369018,1.604158182,1.675731551,1.276990328,1.870662829,1.649242782,1.589640667,1.339289482,2.055139797,1.66625244,1.549798246,1.436712098,2.152428708,1.623546294,1.406180779
CREATININE,1.008431335,1.54554935,0.937527674,0.801167568,1.847443437,1.39884514,1.772004397,2.063774131,1.824069013,1.534977163,1.43662098,1.694623056,0.884075333,1.626723587,1.526060243,2.158704097,0.836850516,2.157180131,1.707492057,1.642807993,1.892252523,1.854887968,1.517077602,1.837689221
CYTIDINE,0.105885969,0.546760898,0.615957388,0.526152983,1.434731478,1.73576921,1.369878905,2.139451018,1.754383539,2.454010821,2.494182599,3.466432301,2.9344834,3.051458075,3.143520516,3.687817122,3.080926605,3.301663884,4.164371907,4.33724631,2.94310343,2.345607597,3.806168647,4.435778809
CYTOSINE,5.482356695,7.051929181,6.724242971,4.865412058,8.908045647,14.35292905,14.89501487,10.68621893,10.81139556,14.98058269,16.92198936,18.04256563,11.7421312,17.84611821,16.40851479,12.204316,11.61062732,19.03020071,16.72795981,17.37420066,10.7759375,18.7299713,18.80422907,15.52118631
D-GLUCONATE,3.69840214,9.645334247,4.174769059,2.797356227,4.255734255,4.763839282,3.633937015,3.363867249,3.494992119,3.494103724,5.05734723,6.422383568,8.291141284,3.999496411,6.159806686,3.595540994,2.950147377,3.550732538,3.697969918,5.844929436,2.67058815,5.536698767,7.173213373,4.34404838
"D-GLUCONO-1,5-LACTONE",6.715966419,4.572809966,5.806345462,5.114113993,4.393764681,3.227595379,4.087178614,4.768763072,4.454945038,2.897302475,3.766695684,3.261204864,4.092512457,3.362479511,3.049169324,4.773278675,2.616379686,2.866307585,1.922124467,1.673334883,2.439744372,1.808465199,2.487363655,3.859509572
D-GLYCERIC ACID,6.884608013,7.295904015,6.245225305,5.7211645,8.250224349,9.667040325,8.19344865,7.817584536,7.541410215,9.320557298,8.2922926,10.81168759,6.801140126,8.625506517,6.690991524,8.932623501,7.046980074,7.721810145,3.359765518,9.452227041,2.965212221,6.937845882,7.278212641,8.213846264
D-PANTOTHENIC ACID,1.770145777,2.377344627,5.093815277,1.374476172,3.713525992,6.023704584,4.14413409,2.583890084,3.496048688,6.233125985,5.003145671,4.121557309,2.368496278,4.3592074,4.157027761,2.55806374,3.121101189,5.45700278,3.757601595,5.896454199,3.909849677,8.365283042,3.61667227,2.129442414
DEOXYCYTIDINE,0.105885969,0.547483051,0.07838773,0.062997543,0.078612291,0.679632741,0.073945691,0.444007398,0.506913074,0.811444165,0.723610216,0.933325193,1.211721557,1.001933004,0.624469374,0.596160937,1.989572377,1.633032668,1.466988863,2.098863745,2.309785284,1.377899532,1.636732468,1.913450238
DEOXYURIDINE,2.904533451,3.661228911,3.289441495,2.533017848,2.64833381,3.110257324,2.794080726,2.448357471,2.902345317,2.931361725,2.819043187,3.911707481,3.161880449,3.561377449,2.813353177,2.861054854,4.316987479,3.819492662,4.427665229,4.650997818,4.865988569,4.152574583,3.775722081,5.020008589
DETHIOBIOTIN,3.745227753,3.81668547,4.06987652,3.150950977,3.368443103,5.801637955,6.779592268,5.570761538,3.726437296,5.909427596,7.806541333,9.440651461,4.130350203,7.821265657,7.311798261,6.380473034,4.770343687,8.460328039,8.965723551,9.658946415,4.715560048,7.21811283,9.834609313,7.027153596
DIACETYL,5.610893405,7.657067529,6.748241168,5.077720989,5.418956246,8.845212418,9.157872628,6.282866715,5.658312819,8.931432294,9.770399376,11.28007808,5.505158922,10.25767956,9.418554201,6.962867694,5.533723658,10.69974205,10.36835478,10.16742495,5.15228185,10.4026217,10.57129073,8.106853975
DIETHANOLAMINE,3.958558297,5.639595184,4.92778524,5.280134097,4.623180317,5.653145814,6.605227912,6.336259579,5.968508521,6.554840627,5.442330097,9.192361713,6.167326169,6.7137941,5.296460342,7.612685156,5.516550958,6.290731943,5.371518446,7.702169203,4.685482452,5.759202165,4.89527434,15.18930033
Ectoine,1.631222167,2.561609632,2.151320586,2.161130642,1.256743542,2.815216971,2.589516585,2.189583401,1.777959143,2.805373589,2.459717388,2.675607718,1.919340487,2.970975882,2.316125417,2.142270826,1.975445643,2.994775001,2.510710175,2.444415428,1.86888261,2.680459572,2.376709234,2.556587441
ERYTHRITOL,0.718793298,0.571108724,0.561135723,0.432836301,0.562125729,0.894301795,1.285084253,1.160547455,0.774934718,1.563554963,1.476249209,2.287817008,0.684697339,1.989494972,1.538968079,1.371147784,0.945694346,2.159006096,1.668614814,2.14123761,0.842387089,1.890598109,1.743883843,1.939812868
FUMARATE,8.731739757,8.642069794,8.116971769,7.005236328,11.14333152,13.25526697,10.66693916,8.780761197,11.77162245,11.79729286,12.0764605,14.55760967,11.2864878,13.07896598,11.57502633,10.93542602,10.77463624,12.14020145,9.253844852,12.81347804,8.645183034,11.02353868,10.96445125,13.38161973
GUANIDINOACETATE,0.647288821,0.816957597,0.480749757,0.525853845,0.463530586,0.837795201,0.419970588,0.560392674,0.461670956,0.743497151,0.456560887,0.52250769,0.852295021,0.543111539,0.59442352,0.747247267,0.605832834,0.409794813,0.707673499,1.115169371,0.505577294,0.99217331,1.098777451,0.564297601
GUANINE,1.213273696,1.706008648,1.613806938,0.686039959,0.897615586,1.137787319,1.533115529,1.202032099,2.185520374,1.68555328,1.670602866,4.149450163,4.062001591,3.408323303,2.820001038,4.169925449,5.8670103,4.53266255,7.15717497,7.404308892,6.578019414,5.160315443,5.146649054,8.694836467
GUANOSINE,0.055822711,0.428611336,1.035192826,0.389536369,1.174382167,1.829206787,1.580423466,2.050694009,2.583429337,2.719866615,2.283723115,2.645580914,3.209666122,3.327282875,2.583310059,3.420882477,3.403137843,4.084449101,4.294413898,3.535824163,3.379466854,3.877299203,2.357450155,4.00253631
"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",0.105885969,0.071955567,0.07838773,0.062997543,0.709496554,0.585610593,0.606598057,0.540909752,0.777009937,0.972777187,2.170252977,2.283718283,1.587347309,2.866066177,3.132133423,2.332889549,2.562419811,3.181618292,7.937690992,4.259423465,3.007957775,3.843439142,4.677421746,3.704862497
HEXANOATE,4.501152782,4.709129594,3.702335854,4.147621416,5.709904864,6.122118804,8.489016031,6.499904259,5.074785459,4.558605182,8.104571691,8.82944628,5.34754804,4.627275689,8.183788161,8.185879793,5.496839416,7.123551335,7.896487049,8.940840317,5.325154294,6.12101774,10.34191643,7.198370453
HIPPURATE,1.088889663,0.848574689,0.779558147,0.698725581,0.621062275,0.934103832,0.976904623,0.965714586,1.008864824,0.961935251,1.426966245,2.119434546,1.006896594,2.15119656,1.27719349,1.373584564,0.889475748,1.927818151,1.085386723,2.508102241,0.900448856,1.663114408,1.32251035,1.1162469
HOMOSERINE,1.078195067,1.749667253,1.404202404,1.068993581,4.056039731,2.34222002,3.139648639,2.626227703,3.816603098,4.596644939,7.032013346,5.752781486,3.53489367,4.089607553,7.00729167,3.613046858,4.889769153,4.079050345,3.714834111,3.240094314,4.748618775,3.790569478,4.466373973,4.171451557
HYDROXYPYRUVATE,3.069355283,3.323091772,3.922393006,3.665464356,3.514842604,3.354538033,3.452202486,3.416116102,3.714106326,2.856813046,3.715173358,3.839334077,4.054922617,3.281455358,3.738234418,3.878983499,3.399196113,3.306713572,3.39267733,3.428792279,3.275456699,3.740201764,3.820913822,4.475666061
HYPOXANTHINE,2.895087777,7.164580271,5.665109611,4.086077481,6.617040746,9.085848871,7.505843351,6.154279682,8.699096167,9.968938618,9.223384317,14.20322015,12.14243195,13.56481759,11.43223927,11.05236111,14.80964423,16.2189223,23.51406,20.83589664,14.63686694,18.48223806,16.19086548,18.73160605
INDOLE-3-ACETAMIDE,1.137481988,0.81066687,1.513773195,0.864787646,1.711654428,2.72739821,1.9789392,1.247295709,1.817025768,2.724385564,2.181351464,2.626322305,1.745478143,2.668988466,2.414091233,1.526904613,1.973213185,2.842288159,2.380537417,2.533860449,2.135342207,2.763878644,2.829061914,2.283773672
INDOLE-3-PYRUVIC ACID,0.818185021,1.897804101,1.530360262,1.283747643,0.968141175,1.750276398,1.2655348,0.808486454,0.774603672,1.259607428,2.377173847,4.244362715,0.816268581,2.106751957,2.108098614,1.370763321,0.666043289,2.315702606,1.924386927,1.695826859,1.423966592,1.331016202,2.861665191,1.246458055
INOSINE,2.42798125,2.965470595,2.911040311,1.930771404,2.786519183,3.788617967,3.65766754,3.274776544,3.839432594,4.54359858,4.731791378,6.510668695,4.521628395,6.641626666,6.012504082,5.981421365,4.896861222,7.273612143,10.37657619,7.069660553,4.172491203,7.178317211,6.259438455,4.324314985
L-ARGININE,3.171642956,1.245066291,1.76967989,0.853898221,1.37731836,1.406860072,2.33997679,0.849492332,1.383824978,2.356422526,1.045789707,2.545015963,2.68325059,2.518241466,1.535244375,2.659026772,1.671708934,3.185288339,1.532625383,2.633950313,1.452742549,2.304992133,2.725241233,2.814168235
L-ASPARTATE,1.382094122,1.929368962,1.288740335,0.600969665,0.875687571,1.703244775,1.641039994,0.913459449,0.790873016,1.192724602,2.804860592,0.709070275,0.623560641,3.154050498,2.215783997,0.89219182,1.188085284,3.142285754,2.089922159,0.656844206,0.766051358,2.423424043,2.055107219,0.988814053
L-CARNITINE,1.89208328,2.032275996,1.940753295,1.541878927,1.257608943,1.921469844,2.253947489,1.515170023,1.809105754,2.131176492,2.042111028,3.153864349,1.578255702,2.22602289,2.15819405,2.244378426,1.614165481,2.34951755,2.417572878,3.466665276,1.675304512,1.927281742,2.181211211,4.127449208
L-GLUTAMIC ACID,2.513816702,3.798181924,2.413489031,1.848293786,2.266923452,4.484866555,4.405783881,3.167947218,3.08817643,4.930438786,2.828282059,5.577197702,3.025662586,5.874282943,3.209631923,3.211598418,3.743398468,4.366958477,3.772415334,4.708677399,3.557301481,5.393498029,3.372508766,3.986254979
L-GLUTAMINE,1.11063794,1.370934344,1.051232152,0.917180197,1.323544294,1.343325687,0.709970811,1.259176093,1.337705259,1.229578558,1.562430615,1.819327366,1.216201597,1.265556648,1.551395397,1.182548139,1.650505154,1.849162954,1.760999458,1.119861018,1.263249794,1.467858554,1.104805438,2.540935573
L-HISTIDINOL,0.813379771,1.986642275,2.006282931,4.000132154,1.930135961,1.844179628,5.180244949,4.092424061,3.928569127,2.39654571,5.929740621,18.26545388,5.864603972,3.021932312,5.541167486,2.163253874,2.47621264,2.773460838,8.3905648,12.71435787,3.449111019,2.665842468,8.313620671,11.23504138
L-HOMOCYSTEINE THIOLACTONE,0.404415602,1.262230992,0.79916853,0.35575895,0.310422123,1.100772565,1.096951759,0.042103966,0.039956291,0.85164538,0.646426208,1.34773075,0.03644803,0.911026513,0.39952317,0.051844114,0.040505265,0.491251823,0.368568513,1.143318286,0.039313522,0.795816808,0.755936627,0.03923515
L-ISOLEUCINE,2.062125155,2.785209369,2.555540866,1.778949648,2.042889169,4.232572747,2.106121402,1.901901648,2.311621974,3.995476194,4.099992638,3.545738927,4.651658779,2.683794442,1.942495541,2.174470831,5.056188927,2.174925138,4.051581374,3.694255528,4.826216167,5.880959715,2.910487273,7.026967685
L-LYSINE,2.590100786,1.734602243,2.240161626,1.648365023,1.693370332,1.225193125,2.144638613,1.284622272,1.963316735,2.204607228,2.09365307,2.123018302,1.380672774,1.989723414,2.214510964,2.229609364,1.931744389,2.576305209,2.381435687,2.199417372,1.508918057,2.485377449,2.255751815,1.540211782
L-ORNITHINE,4.537117851,1.795137556,1.96631497,2.334757464,1.891256437,1.157493535,1.679230952,2.020616118,2.172509915,1.065082615,1.994306345,1.726916184,2.07352035,1.484161231,2.070587525,3.381291738,2.160359915,1.771419144,2.252233919,2.302220415,2.284118812,2.36716576,2.147409197,1.342852698
