Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoS,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
PYRIDOXINE,532962.8871,1183976.157,939318.6306,1283155.076,4802899.997,18022244.22,15032965.87,10554697.85,7852591.447,19209784.1,20208288.16,19959232.13,5639812.855,24849345.02,43747263.96,9310143.739,22986444.06,53975605.72,66101776.03,49385609.74,13672459.31,39462009.17,61931925.21,38355464.56,190195.1493,981019.6558,224115.6634,446915.432,1248194.995,4791062.435,3948401.605,3080026.83,4199038.785,5456169.653,5666549.091,1378838.447,6892088.348,10473047.84,5455173.379,2453984.908,5850609.835,15509135.45,13261330.3,12047186.6,5555373.691,25549213.46,15295938.19,13305720.17,5299157.439,27805596.3,24853372.37,10736578.2,92085468.14,111949351.7,124249560.1,216115723.7,231876388.6,246240047.3,252836949.5,176793762.1,172511380.8,205082067.7,320150670.1,168371740.1,243217073.7,241426262.8,367852783.4,169736385.7,206595006.5,407312807.3,554900269.4,276881375.8
L-CARNITINE,246631.756,1251231.309,763049.3975,117227.8365,475441.9682,1500136.843,789101.5778,555736.9551,312780.8684,1383422.439,689618.6709,600566.792,281290.6735,1491614.872,792119.4645,999158.3314,759068.1778,1617946.961,759261.4075,1177330.531,441080.6067,978890.5706,959598.4891,793189.8888,243370.5349,1087129.713,1011431.442,366630.4417,167939.5698,754681.9676,1365630.529,291269.5636,580118.0511,884103.9428,1040239.748,4278992.002,507446.1367,994201.9657,1221934.271,507072.333,395539.3943,1043840.008,1406684.192,6096576.435,483654.7328,1548685.454,1390637.11,7276110.621,189299.277,807795.3123,849600.8873,2018943.531,629879.5169,879509.4528,801869.7178,9513175.673,419207.0958,1203032.141,2268205.272,9178659.148,593940.9471,1392310.516,1285719.845,5331266.128,656374.6525,774610.467,1117631.088,3759754.354,560409.176,1090530.647,1085074.18,3012264.298
CREATINE,262688.2234,925162.3814,604289.5532,818591.3326,640571.8293,1127758.072,810541.2348,251445.1222,387310.1254,953588.6171,799027.2688,328828.8121,273500.414,765509.5197,667490.176,216353.7738,409125.8497,1013490.837,721607.7705,272058.3489,271268.5413,491677.6415,667782.1228,476909.4352,196345.1053,859968.025,724307.9017,285245.2107,295237.7168,691967.0184,589949.4665,262845.9988,251812.1871,462632.2965,504239.6175,641838.5307,268794.6825,590027.5486,545293.2834,180168.3713,225927.4245,698589.3594,460553.7018,544723.0929,305044.6513,2157316.798,573475.2519,287724.9691,250502.2621,655971.9637,751334.0321,256970.7191,404847.6043,594221.8418,398517.3371,1132372.427,565738.27,1040099.374,569790.5903,291325.0226,404401.5447,569123.8677,450045.7605,182268.3056,336924.8555,747220.901,558731.0646,205939.0572,305589.6965,790057.6955,556720.7775,228680.2384
TRIGONELLINE,7125547.769,4168438.675,14859011.74,12064415.39,6284680.179,5570433.428,19101703.28,7245986.611,5556494.193,5309590.702,18671310.21,10207198.83,2011238.553,2438896.146,23582324.32,4607855.181,8978286.106,12643533.55,30957460.99,8288616.713,3555766.073,8920596.526,24146479.87,12207614.16,240381.8606,777784.9622,659655.249,100403.2609,345427.3475,585931.8071,1325424.791,1684472.109,108911.6471,864869.909,759668.2839,2635117.636,169690.8974,1372129.054,684994.1986,380837.1135,269696.5059,1578907.707,837261.6918,1180086.884,100617.5276,2903920.306,1065437.722,1377935.295,1264233.562,1277118.054,1616582.071,139791.0462,1107815.33,297867.4686,2738747.016,1488466.452,1435342.678,3326412.893,2092731.133,887355.1444,1356133.516,1013485.624,2178035.657,695499.8782,1590587.555,5979740.859,2190173.962,794854.3645,534361.2369,5560386.824,2544024.797,1018662.129
N-ACETYL-L-CYSTEINE,108419.8155,81663.5832,211415.7079,383694.657,167210.8523,120277.093,230349.8756,284287.4828,117057.4629,74055.58402,195939.4299,93345.16517,40518.89865,21050.33034,83675.76108,3048.947195,15841.25169,22453.23877,18516.59218,4148.455353,4969.059971,136947.6537,5336.194544,49084.30274,389466.1304,693562.1254,1326325.144,1757960.457,709615.4986,2114316.578,3814147.195,2177084.294,1253097.717,1332747.029,2456977.16,4448545.74,1609102.665,1752158.063,1291382.763,708190.3821,684017.3841,1472825.985,1182097.613,4744460.241,417588.4065,350270.1154,1063792.726,2167717.23,5589.918343,130368.3335,149485.041,55420.19395,111803.1884,347495.2249,376195.1661,658956.6361,201005.9368,176067.7432,391381.481,188105.7529,164315.6176,234128.7844,574905.5518,278212.3106,118570.6304,21875.57726,169419.8957,70262.1816,10110.80922,360956.5994,369062.1429,80147.13367
L-GLUTAMINE,91425.10916,312513.7881,144481.2359,430530.9589,219041.1633,863038.3373,1078240.141,32340.46817,765336.0707,387213.3964,1414218.911,125767.1947,39688.69635,397235.0948,1225518.404,45377.78613,143297.42,1290546.316,553074.5101,569555.4651,41808.64117,456000.9155,1467675.226,655161.5942,49222.62467,333720.797,160739.0363,77168.79357,195763.4568,257873.7955,42679.89253,167174.6434,234534.0042,169790.7083,465905.259,821381.6591,232206.5988,182696.618,453882.9495,74171.68518,422859.6363,508889.4075,543670.2256,205514.5972,207358.5159,684195.5134,180708.2838,1697598.725,301662.4663,229743.2871,175860.2568,52276.28944,2833923.032,261812.5201,321639.7059,475729.959,3609058.284,4070898.417,754421.183,4212643.508,3409819.875,667034.7896,2285989.596,676828.8118,4116676.54,2465902.027,2335110.397,505706.0479,2258803.371,3613868.508,1221562.75,1152099.686
ALPHA-KETOGLUTARIC ACID,2506.90615,2603.681427,30117.62755,5496.461587,5532.094759,0,71019.67615,108565.5917,7787.75489,6323.844901,14666.18901,34166.93695,122378.2732,9590.196549,4144.628775,0,3349.780488,94480.31992,4221.069122,3634.315597,50780.80436,136648.301,4044.899371,63824.66824,161787.2832,371397.7752,5458.622781,7153.830816,273342.7058,753714.1315,30203.64316,0,4258.143408,535140.5093,215459.6287,141038.4621,61479.07933,603294.4511,203880.5214,5959.827342,176232.799,717372.5199,65577.08118,128553.5354,321151.4689,444083.7507,313357.1751,89204.74998,62876.8401,628575.8253,6045.474388,93200.37573,383309.1141,2043172.295,418565.1193,579187.4016,15062.13126,2849094.134,570466.3233,2234907.062,74546.87495,1671936.484,304844.9674,558584.3419,108602.5251,489627.9783,471946.7857,47577.21351,141180.822,1687376.624,183993.2749,1474012.337
L-TRYPTOPHAN,32032.81555,199097.149,82768.06572,110012.9001,293813.4354,317801.3411,200932.0089,336084.4251,252416.8309,327070.8388,304594.0482,474768.417,130828.2155,320278.2215,1310860.998,232022.9207,343017.3328,497018.2111,602780.2969,677180.7195,411744.3324,326754.396,1319129.66,685876.1295,2635.932996,152541.5795,408447.2819,115587.4885,169770.9107,524243.6873,613060.0701,550506.4485,552075.4115,481631.5554,571938.1884,448136.6278,992396.6418,582679.5855,378829.5285,328683.1487,842476.6302,815692.062,519483.1068,594014.9965,1075787.543,989358.1764,362638.7896,1341151.682,70228.03006,554748.416,730258.9457,210839.1019,716506.8454,630279.0989,583603.1316,542146.5649,1044433.289,1262192.592,2435961.166,938654.0767,1264144.459,1098359.778,4184326.854,1165256.461,2426708.785,1998043.462,1054506.512,1527107.53,1140256.435,3586321.198,2807898.012,2687684.764
"5,6-DIHYDROURACIL",273935.8433,311188.8127,159586.4126,186288.8038,319446.607,478943.8874,340297.1196,401433.6709,327258.4798,384804.9247,390330.5737,432866.5567,291429.1093,344545.4182,742755.8514,318549.14,549055.0849,1261848.189,1186196.97,629322.6622,393857.2347,605612.6492,610931.9012,536800.595,85123.98084,258835.7249,130996.2594,372738.4015,309793.5838,518056.3233,389157.9025,248931.137,315820.8398,505405.8011,479797.0282,1173853.081,368990.4637,810047.0898,617650.2941,126606.0864,318585.6816,1020759.396,570224.7446,1195392.816,279895.5413,1717405.662,564510.1517,631799.3179,49241.15788,721670.2232,244155.1762,195940.2003,951230.4469,862002.5943,642352.2361,1011612.971,817789.9733,1757249.538,1013134.717,873577.4549,613688.0201,993751.2563,1220087.435,573356.1964,802832.5279,1288571.016,1946913.952,664399.0986,377491.366,1777018.178,1005301.526,407222.3178
4-PYRIDOXATE,30252595.85,67830882.76,45872014.17,51798041.11,73572740.71,94404261.21,77524844.83,84906130.65,86557766.66,583537.4072,86803228.69,103462457.8,644620.8449,101091538,124091049.4,58475040.69,223467583.4,130354485.3,109567423,176637762.6,75574262.4,100603380,125637072,100604904.8,4740.519765,174350.1249,152801.6482,46698.85815,688773.8898,2764317.994,1816054.756,527436.6892,6038120.862,4793105.715,3137461.074,4978221.209,11915442.84,10160865.87,4775407.395,1856303.572,15945376.09,16955146.95,19320633.34,11265978.98,14605009.34,35739711.53,14265547.42,14426584.75,2884.380565,61734.46291,7547.939219,60951.48175,13144.91636,15898.44689,4233.005093,30952.64424,71652.54524,63491.14163,38982.59279,16782.30386,108463.3466,43294.26296,49166.47187,46204.9255,84858.46424,64529.84219,16121.10094,85509.67887,382058.0756,50693.31321,21414.98537,121335.3854
GUANINE,2037337.976,3142654.804,6276739.899,7725505.754,3840348.509,7507970.354,12261387.87,6809563.783,4310814.125,6158354.962,9999929.518,11029404.72,2993382.016,5543139.051,12585145,3569594.483,5793744.14,5737559.457,24404089.31,10421906.58,4838816.553,7784538.246,15944262.75,9522539.183,90896.72785,335364.0115,471070.6674,255129.3233,302437.5595,405140.911,3300327.507,580997.5045,1163290.455,764232.5728,819262.8509,5056876.249,6281868.48,2549992.367,2353897.386,2346149.013,12463958.29,5096343.246,27977462.48,28881839.71,20983054.4,12075120.68,12035180.39,38143914.6,954283.8512,1843910.314,2424064.031,984614.8607,1803204.801,2479217.232,3856295.611,8343681.087,3378324.988,3817966.077,4679224.927,3215687.322,2083096.153,4190089.144,4763231.011,2606633.683,3952680.08,5592344.149,5507926.557,4250593.405,2938273.191,4615346.782,4535543.889,2666810.849
L-LYSINE,538535.9708,917489.5105,123148.2102,1548136.928,2960132.054,1625285.464,1900240.673,930262.914,1953247.368,1236277.185,2246492.551,2195781.242,1990330.735,889201.5047,3294551.373,2331535.064,263682.0229,1293470.855,4030554.066,2557948.881,356255.6916,801642.3035,2662068.147,1273322.047,624305.6187,675978.7033,1555476.716,447958.5967,409988.8306,195648.6735,1176424.873,177515.9329,741473.4754,978675.5927,1121010.156,1305189.764,339727.0528,710009.0285,1320109.259,497127.74,677945.1463,1376226.11,1344542.253,1556944.906,353387.46,3321273.636,1538135.507,378090.1858,1192320.795,679750.6744,1963324.534,401732.8513,3438187.9,1087098.162,1305134.774,75223.49779,1918074.238,977853.7477,1592323.014,489245.6265,375586.3972,3283039.178,6229597.937,575200.8184,3776452.298,1220190.776,1347813.093,324046.8271,762421.8469,820354.8175,1154248.581,2772321.229
S-(5'-ADENOSYL)-L-HOMOCYSTEINE,0,0,0,2024.308959,0,0,0,3015.320122,0,0,0,0,0,0,0,0,0,0,0,2463.468712,1472.638997,1676.373078,0,1049.670692,1240.751004,240452.7049,406264.107,0,1820.858569,83093.0757,56025.93379,2818.011874,0,13324.82627,350947.4864,23021.75183,0,3490.547843,20974.82054,2654.978758,1611.285185,6456.758041,100875.6046,0,0,23388.25583,0,0,0,0,0,2035.132958,0,0,0,1814.843109,0,0,0,0,2446.735731,0,0,2526.387057,0,0,0,0,0,0,0,0
CREATININE,462078.0691,614425.792,755847.167,1283604.958,1623310.335,552280.6662,987712.53,739567.3449,136311.0975,478188.9904,788834.0068,672743.3741,102280.6098,506427.336,583176.7207,52728.56656,1671616.98,343087.3907,474577.1032,1078500.926,809970.4114,233236.6839,328795.4495,457334.1816,36845.65224,478169.5687,114019.1351,51433.70211,532389.69,291187.1255,663584.4815,736033.3454,594632.0471,330332.1412,362177.9493,663791.6384,89191.95214,387995.8062,432007.6197,451191.6006,55117.46581,807899.0421,495603.0364,648799.8094,696933.6697,1380640.632,467890.299,642199.9744,591026.5778,491862.6109,868303.3266,589727.6176,1225931.551,609712.3875,3240860.365,2458797.812,2209182.165,1233592.942,5102414.794,1015509.946,2458628.655,782746.7882,8229097.721,885274.6077,3284126.096,1143818.008,12173510.19,1471001.636,1322369.566,1801353.406,16251254.93,1811738.857
L-HOMOCYSTEINE THIOLACTONE,11101.36437,400139.5662,16334.46199,168077.0886,9137.315901,389626.1793,79347.41873,11647.82068,12267.14659,36619.8737,42135.2867,26630.85402,5135.332165,25544.17087,228859.9095,23495.69511,24097.64974,665000.784,340616.5904,354157.6047,6969.074741,394190.1847,24589.10402,141916.1212,2376.462463,260465.2684,70622.09152,4503.448584,2525.65588,141891.3908,157421.6362,0,0,56418.49036,32995.31359,333904.181,0,68152.02877,7751.795134,0,0,9541.362216,4984.396421,218701.4893,0,109035.249,57886.4368,0,39994.49238,1080187.732,489327.8956,229724.2137,308840.8417,1116941.178,713555.1567,1593098.307,403139.1834,3184583.532,995455.3288,1768832.792,374017.4917,2391132.061,1565387.78,1628666.692,596560.6869,3940521.689,2133703.996,1781532.436,250160.9196,3895625.023,1250350.106,1244712.997
XANTHINE,32494.92445,179158.2406,70874.63149,169432.8468,23987.95681,392966.6627,337336.4981,70467.04165,41530.99335,475088.127,403563.7438,93293.91444,80064.38779,267977.9835,357130.0314,67197.01881,75089.75059,148690.6699,581317.8744,221370.7631,193313.5079,19297.0864,395658.173,202756.2558,37263.98192,35523.91241,2634921.872,1041226.674,13486.53762,460648.1339,48215.55376,8700078.33,12260112.26,591123.9853,112787896.5,41606.24601,20761.94148,57021.95642,89835.23176,13626.34949,18501197.19,77411.24237,136422699.7,97867.2639,11986545.66,177373.286,176622.3155,82551.30559,20105.18073,184378.493,482133.9472,71029.00449,925296.7845,1865981.873,4231201.532,4134005.953,963155.6184,3962257.649,3052765.496,2843326.793,1060452.918,2434053.984,2803368.435,2946333.764,203174.1148,531640.2302,5591170.471,1607250.103,460244.6764,4083850.814,2334990.423,3300321.775
THYMIDINE,60108.4374,12118.05804,32169.98486,115959.1268,75423.72868,62841.77783,61065.70155,311618.008,75475.17867,58113.92751,89807.62221,481528.5755,81619.88376,41480.22279,48995.68484,67871.66558,879380.2856,88059.14074,193213.5272,511844.32,163671.1508,46370.18509,47241.3059,85760.8806,249638.9718,84949.29317,57883.34428,71873.63744,126037.7831,86740.34995,30901.52882,544238.7166,262670.8177,200669.0303,304530.5251,47934.65404,256068.6685,169401.8752,167785.9177,171071.9281,175304.084,56115.18409,195085.7945,256320.9726,77336.49929,203677.9935,157836.5107,424244.1056,1477723.934,1740725.294,1745259.017,2718365.109,3665369.02,1954287.093,5480796.914,6708204.606,4700705.419,3234246.949,5136083.165,10668174.94,8306457.57,3970553.603,4140304.678,9220996.254,8701963.133,2506980.716,7252672.717,3950190.917,8158173.671,4746788.296,8464043.553,10480803.95
proline,64298.68674,885339.4687,240938.7618,4977483.015,2484675.215,1148456.646,3561080.843,2225205.383,2304039.302,1527732.422,743884.592,23067291.72,1083361.293,915667.9664,570701.4761,2416649.621,2763731.445,3209161.92,6596946.812,3376846.299,1893356.005,469578.6359,1933317.264,1432083.968,118881.3523,324165.7571,69808.76965,1604151.249,717017.3874,2784540.385,1516048.183,777957.3906,542616.654,3858236.695,2001181.753,4042440.503,676889.3713,4941099.692,1390489.664,459661.4467,1045861.686,4640252.244,1780379.099,3643526.834,945693.7718,2426641.191,1477738.472,3992693.49,161104.8328,871155.806,284993.314,1105541.085,2499115.096,823964.6693,2297316.296,6373970.809,3475934.552,2981506.191,6127957.073,4165611.403,2189079.771,2455937.623,4963837.132,1920624.258,3525391.024,6855250.668,1619910.796,3080720.918,2945777.084,4174986.033,5776356.417,3612413.093
D-PANTOTHENIC ACID,826878.0474,285426.9346,1220474.458,703415.7916,4239744.744,3364892.832,6056100.895,2230722.21,4852906.715,6483488.083,6856062.417,3599909.811,3541322.018,7806672.162,10819610.38,2494270.781,6892248.238,14683961.57,19010157.96,6266075.6,6726605.972,8547889.845,17863913.59,11046136.47,7477.349928,534510.0534,591237.4093,33132.31731,37764.72438,1971925.477,259407.3873,94622.76065,140395.7808,782911.2677,902937.5882,1399124.936,443296.7578,556511.8683,978899.9143,119972.925,303135.6264,568954.7136,1520749.271,1231133.629,70490.60341,7118421.342,1295482.173,101641.7379,30246.50791,16793745.33,21108689.52,220701.2434,739146.5631,1047488.082,5219636.63,1803410.025,1495235.015,32604217.53,4613744.855,3217738.919,17756205.8,2448558.676,110115076.3,5205054.383,19448537.52,75299096.92,9011157.305,3090506.66,45838445.04,130054501.4,15548918.22,7385096.161
L-HISTIDINOL,839093.876,281402.4515,291857.9683,1329586.903,3391257.494,93403.52423,1998808.815,916298.0388,3823865.792,144219.5967,152936.33,509121.9724,756921.4213,42642.32076,722580.2237,862026.5529,2793173.446,358627.0308,6096956.093,1612393.301,2807418.746,221065.858,2314884.311,1781122.972,4506054.033,851160.2182,628576.7885,1001862.882,16043777.96,102482.4348,6961441.889,184703907.6,78210909.18,201221.8701,127394815.5,82887068.08,65211502.04,291997.5563,93151703.71,92034876.77,46537884.05,519625.2918,10312835.64,49921473.8,61804970.28,1005815.814,100644112.2,53819309.65,303002.4012,121546.7347,380014.5993,867776.4624,36800764.59,221702.311,7987093.309,16313066.72,58836832.33,186188.2718,5558996.38,3236461.971,71456646.9,92997.84533,4371509.237,985082.0434,54111628.11,228268.539,4408535.667,66800655.02,48954849.4,226171.1661,4373550.769,25433563.7
L-ARGININE,1751406.544,145941.1142,1323781.511,763563.6393,4003298.939,5409544.334,4236470.551,2848707.497,2035814.732,400819.4088,6525219.444,2868043.105,910744.514,1845070.089,4452777.713,2677674.398,586753.6249,5605363.006,20927913.04,2876764.686,1130006.758,4318637.689,12879242.46,6109295.636,1146304.841,249983.1454,766848.551,62272.46107,220606.9525,296221.0837,1528046.197,51332.142,259637.8538,1195100.9,139710.3179,2248453.845,2493684.753,1439387.916,439854.3765,843237.2607,439367.1339,2601022.528,358398.2863,2674071.568,315369.8251,2649329.284,2712286.14,2306238.67,151267.637,1042980.262,604652.3216,208228.6166,5689330.29,1345095.774,1591209.699,2804789.492,2564939.966,4877012.149,1757450.86,1942628.446,4203660.535,5139601.182,2771956.887,229081.3807,9300423.019,4921697.166,5709654.013,1453736.968,3335768.811,6145603.657,3960995.771,2541063.822
Choline O-Sulfate,4344.403188,17298.2022,18240.50882,5892.150748,6863.933256,69820.28618,3772.231388,26044.86023,8395.500528,5644.052744,4201.72657,4192.218713,35413.56786,68131.95765,12553.92406,30632.56834,31436.07892,2901.959178,4271.545334,10046.5768,9769.945365,4748.131845,17693.40976,10737.16232,5507.705117,1916.150619,2455.192673,33276.11367,17718.84629,212033.5656,112580.7694,13812.77335,2245.902992,3320.653486,105634.2954,722400.4297,6821.866615,74266.46587,71328.00962,43057.25199,8047.736715,13206.29672,68965.46215,3349212.562,12051.54962,4027.739098,49834.96791,6763172.867,2312.783475,5682.489464,2634.064196,1428396.754,140321.3849,3630.228345,4263.284062,8847072.37,4289.606077,3515.728365,4926.079033,5209357.254,2623.305624,4580.02845,4301.572176,4103449.49,2413.290931,2603.386858,3916.973423,1562161.148,12515.69771,4533.888295,4516.256384,2782801.629
N-ACETYLPUTRESCINE,5129496.761,2630082.59,4598653.749,4916410.514,8571202.023,31169337.37,5271055.05,21403887.33,9503172.662,29940669.96,8399749.78,27973536.11,6099126.689,15090590.28,1994912.401,12337449.57,20565456.03,36052036.85,2528914.623,43851942.46,11562977.97,29712511.47,17770309.9,19681933.11,13800294.53,7669994.772,13016347.77,30484503.76,50450129.81,58224601.86,138978708.3,152401714.7,168391557.4,99123437.9,137781125.2,18830798.52,271450724.8,24978962.59,145626456.2,118090664.3,158539163.8,36916531.86,94969824.52,25334950.53,138547995.3,1281298859,797204098.4,562026641.6,4980206.695,2146288.493,4435595.905,8780361.429,24488914.72,30960282.16,44211735.16,20435519.07,53729080.28,15083360.42,24077355.2,71729412.74,62172552.48,72240007.79,23942530.51,51616719.13,84961660.5,113251021.6,32070811.01,52907729.49,70024735.12,33291266.6,120142996.6,87225939.94
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,569620.4807,231897.3654,9032551.681,2298725.521,201516.5558,538739.2201,6135330.354,1014627.803,472109.9838,576008.7833,927512.1287,1382456.172,295059.4609,1669400.881,575491.1838,678216.0191,829193.148,1364164.471,6513071.639,1534012.311,205637.5882,2330746.308,2388343.246,1641575.714,229581.1233,263300.4617,259616.5934,73095.95482,510904.9232,292734.3166,230628.5254,195660.6934,125686.6327,390582.1085,4851938.349,904432.4593,58909.68329,160077.8439,6169850.016,243186.9763,430470.3406,611899.73,9514734.64,1020601.513,485275.901,1322162.877,6179267.806,182116.7482,193079.5242,484025.0696,8088032.856,244832.1274,58191.47288,409388.2085,3837193.155,1115073.842,113472.177,136039.0838,115487.5502,449995.7721,66766.00387,519029.9416,128923.3162,73874.7396,20808.56306,131165.1847,2217239.161,240364.8433,45033.53298,352130.8268,204222.294,498160.1435
PHENETHYLAMINE,19050040.49,1113509.864,46239849.32,20337752.95,15824750.37,1461539.083,54739251.38,8502103.211,10530492.9,2681592.407,50713175.35,15716814.2,6190682.718,5310129.095,74769688.02,11178190.02,7646907.742,4820968.448,225843366.1,14185765.95,10177281.87,2216130.028,42450654.49,18281355.46,3051329.314,1297831.252,33247622.71,9063601.117,3487928.439,5039117.669,12267611.97,47424632.98,5706006.437,3711369.696,23352896.29,45822108.83,7643124.38,4467046.991,30041776.48,6485374.592,4113995.849,3875245.976,128847983.4,28943463.05,11022157.68,1476146.215,39518987.09,14437121.81,8047348.17,52742742.33,10519921.14,2428741.272,35592767.08,1771761.391,10804396.34,9999918.51,40719137.14,1552170.158,23899146.7,4906453.151,16857244.65,1626675.341,21724649.97,3314653.535,25031761.38,1006034.053,24341279.49,4999952.573,9955365.547,1688083.045,6073486.243,747022.5198
"3',5'-CYCLIC AMP",5417.214113,0,6152.464539,0,0,0,7443.508072,2269.12492,2230.327709,0,5750.48683,5591.045783,1703.144891,3895.265637,0,2194.589603,0,0,0,3780.158484,29914.45133,0,0,9971.483777,0,0,0,0,0,0,0,0,0,3519.854831,0,0,0,0,0,0,0,0,0,1481.11404,0,0,0,3974.785423,0,70593.49223,63934.3026,1304.588437,4863.158922,266782.5025,17630.39638,150174.9742,8115.771117,459094.9882,276383.1591,0,47572.46674,346881.3756,345955.01,0,81247.56326,250249.2947,140645.5856,38654.10735,460107.8348,410918.3251,611487.9091,2864.855607
"D-GLUCONO-1,5-LACTONE",3189.854813,10290.03572,11270.24984,204815.1197,2771.961904,2956.225183,2744.852812,137674.1233,2598.141896,1188.066229,2878.048105,248624.0047,2568.192784,1863.090055,3093.751862,2874.535905,101246.6128,2208.716916,19925.393,151941.0009,5081.285264,2603.585614,3526.37664,3737.082506,2661.219755,2493.5625,3062.870776,3634.753847,32869.37642,22930.40758,25680.86921,81940.64422,208622.5524,26046.04439,121755.0385,97395.8729,99658.44911,63268.37526,27934.6116,52568.11977,43979.79597,52827.52456,77717.18786,42177.08057,23257.49828,8601.862596,18909.12227,95098.90598,2212.206237,7447.098021,68371.5869,83861.02256,125659.006,1260.45882,3041.491689,5319.605874,360217.335,0,2541.533258,392973.9492,316773.4694,1408.452318,2564.442464,324447.6834,485362.1399,90470.52919,3142.555064,410638.3285,836859.0053,0,6745.354474,428054.1203
methionine,5265.614956,7547.375123,6831.445271,32804.64315,56562.22985,0,88110.57876,102927.8737,59946.22831,0,119823.0162,78108.46927,8711.176109,28744.52603,301336.0123,81288.01444,19625.9571,48814.83969,378814.0522,86475.396,38456.27032,137507.7258,315208.3947,163724.1303,4834.545038,12982.7371,12428.82558,9824.61848,35949.66438,97476.64383,98049.9759,146567.8893,180452.9901,117862.8438,151903.2048,486087.3633,393270.1585,217951.1382,215280.3954,96502.5178,573006.4872,360727.5009,389657.5951,839081.3733,518028.7163,744153.1385,441928.2505,466743.1235,3044.144932,50064.85664,47935.737,10615.43637,85853.94189,140029.8388,126681.029,155739.6958,179729.4285,214947.527,236665.9457,206678.4698,88451.98016,252762.6366,532298.0892,200694.8515,228685.8091,1756671.388,333953.5987,508926.2781,93480.67499,436400.5524,477102.7727,489489.5107
RIBOFLAVIN,25231.74045,4740.855091,2881.971585,15241.12115,9190.604856,4622.579545,4601.832257,43434.37386,11442.57704,3725.596295,4912.639294,40983.81965,20001.71608,7310.90844,18990.20342,45679.76405,6362.798548,12360.81295,16137.74668,199309.7124,4359.130314,13020.75761,148576.3284,55318.73877,2353.85473,4049.254636,8565.674384,8328.474823,2429.724915,10284.70667,17353.56709,35124.81059,8932.714601,9377.653462,28100.85134,125659.4726,14990.13273,54957.35136,33319.93934,14459.25548,16637.50805,193618.9227,698146.3804,444868.5364,50119.32285,203632.336,64194.91076,2388537.127,1973.245249,4743.468008,4099.418948,2607.095901,6529.024782,47676.37913,20079.68834,94764.21888,4836.595071,182222.373,7601.942206,3150892.454,8356.426272,12061.1748,20003.86122,215073.1608,33273.23651,41649.05165,15091.98529,229466.0892,67919.33758,38740.94367,214154.2108,291357.481
ADENOSINE 5'-MONOPHOSPHATE,1736.009184,0,0,6240.923887,1101.656231,0,3585.670104,0,2387.198784,0,2777.020649,0,1537.223905,0,0,0,0,1407.993339,3583.191852,0,3856.524466,1328.588995,0,1728.371154,0,0,2200.236036,0,0,2019.327774,2839.512396,0,3593.811499,0,1688.174334,3208.22427,0,0,0,0,0,1123.595061,7103.56646,2769.136292,3931.209021,1008.501229,2349.684593,3775.080892,0,1414.388545,1934.733713,0,359141.6194,4624.938414,17947.62375,493626.6067,289047.1767,815027.8956,51385.23472,180045.3322,1353734.411,310927.2946,185507.692,35735.38639,1165801.606,581785.9603,4728141.273,2215122.632,3145737.996,186016.6855,2266565.927,3346915.977
