inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
NPJORWJUTKRBQI	InChI=1S/C10H15NO5/c1-3-16-9(15)10(4-5-10)8(14)11(2)6-7(12)13/h3-6H2,1-2H3,(H,12,13)	C10H15NO5	1086	-3185.815472854932	""	CCOC(=O)C1(CC1)C(=O)N(C)CC(=O)O	-0.237000003	""	PubChem:(121896509)
SKLNZVMYLZGPSA	InChI=1S/C10H15NO5/c1-10(2,3)16-9(14)11-7-4-6(5-12)15-8(7)13/h5-7H,4H2,1-3H3,(H,11,14)	C10H15NO5	1087	-3185.901110393336	tert-butyl N-(5-formyl-2-oxooxolan-3-yl)carbamate	CC(C)(C)OC(=NC1CC(C=O)OC1=O)O	1.21399999	""	PubChem:(20588051)
WXQSTBZAUXWYJF	InChI=1S/C10H13NO4/c12-10(13)9-4-8(5-11-9)15-6-7-2-1-3-14-7/h1-3,8-9,11H,4-6H2,(H,12,13)	C10H13NO4	1088	-3185.9790006062644	""	C1=COC(=C1)COC2CC(C(=O)O)NC2	-0.289000005	""	PubChem:(83639546)
YUHMCCIYROSXFZ	InChI=1S/C10H13NO4/c1-6(12)15-11-9(13)7-4-2-3-5-8(7)10(11)14/h7-8H,2-5H2,1H3	C10H13NO4	1089	-3185.9913331940656	(1,3-dioxo-3a,4,5,6,7,7a-hexahydroisoindol-2-yl) acetate	CC(=O)ON1C(=O)C2CCCCC2C1=O	0.335000008	""	PubChem:(21933438)
LQZHBRABSHRNRM	InChI=1S/C10H15NO5/c1-5-8(11-9(13)6(2)3)10(14)16-15-7(4)12/h8H,2,5H2,1,3-4H3,(H,11,13)	C10H15NO5	1090	-3186.0859403995382	""	CCC(C(=O)OOC(=O)C)N=C(C(=C)C)O	0.595000029	""	PubChem:(87079641)
BTGJNKAVZKRAJI	InChI=1S/C10H15NO5/c1-4-16-8(12)5-11-9(13)6(2)7(3)10(14)15/h4-5H2,1-3H3,(H,11,13)(H,14,15)	C10H15NO5	1091	-3186.090917244485	""	CCOC(=O)CN=C(C(=C(C)C(=O)O)C)O	-0.0659999996	""	PubChem:(63270398 76992908)
ZMNMNGYLBAGHCF	InChI=1S/C10H15NO5/c12-7(10(15)16)5-6-11-8(13)3-1-2-4-9(11)14/h7,12H,1-6H2,(H,15,16)	C10H15NO5	1092	-3186.1975396781113	""	C1CCC(=O)N(CCC(C(=O)O)O)C(=O)C1	-0.977999985	""	PubChem:(107835354)
SJYDVFLTOZBKGE	InChI=1S/C10H15NO5/c1-7(12)5-10(15)16-4-2-3-8(13)6-9(11)14/h2-6H2,1H3,(H2,11,14)	C10H15NO5	1093	-3186.3466376604006	""	CC(=O)CC(=O)OCCCC(=O)CC(=N)O	0.057	""	PubChem:(88596194)
KQFXIPFSRWEUSN	InChI=1S/C10H15NO5/c1-2-7(5-9(12)13)11-10(14)8-6-15-3-4-16-8/h6-7H,2-5H2,1H3,(H,11,14)(H,12,13)	C10H15NO5	1094	-3186.3516397683247	""	CCC(CC(=O)O)N=C(C1=COCCO1)O	0.85799998	""	PubChem:(81967389)
CZZIZNLPAZMTER	InChI=1S/C10H13NO4/c1-3-11(4-2)9(12)7-5-6-8(15-7)10(13)14/h5-6H,3-4H2,1-2H3,(H,13,14)	C10H13NO4	1095	-3186.5520921442876	""	CCN(CC)C(=O)C1=CC=C(C(=O)O)O1	0.742999971	""	PubChem:(75356027)
DPVLQELOHAMLHR	InChI=1S/C10H13NO4/c1-3-7(10(13)14)11(2)9(12)8-5-4-6-15-8/h4-7H,3H2,1-2H3,(H,13,14)	C10H13NO4	1096	-3186.632558935859	""	CCC(C(=O)O)N(C)C(=O)C1=CC=CO1	0.535000026	""	PubChem:(61816765)
