inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
ADDYYFFVFHHUIO	InChI=1S/C14H23O4P/c1-17-19(16,18-2)9-13(15)14-6-10-3-11(7-14)5-12(4-10)8-14/h10-12H,3-9H2,1-2H3	C14H23O4P	151	-3117.2097102533057	1-(1-adamantyl)-2-dimethoxyphosphorylethanone	COP(=O)(CC(=O)C12CC3CC(CC(C3)C1)C2)OC	2.12599993	""	PubChem:(13186070)
ATYLUEIDAQQLTD	InChI=1S/C14H23O4P/c1-13(2,3)10-7-9(18-19(16)17)8-11(12(10)15)14(4,5)6/h7-8,15-17H,1-6H3	C14H23O4P	152	-3118.037494478459	""	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OP(O)O	3.39400005	""	PubChem:(21535829)
LHVOUHGEOOIMLP	InChI=1S/C14H25O5P/c1-6-9-11-13(12(10(4)5)19-14(11)15)20(16,17-7-2)18-8-3/h6,10-13H,1,7-9H2,2-5H3	C14H25O5P	153	-3119.5399394005126	""	C=CCC1C(C(C(C)C)OC1=O)P(=O)(OCC)OCC	2.27200007	""	PubChem:(15664395)
UOVVGJYNEYTUHR	InChI=1S/C14H23O4P/c1-10(2)8-12-6-5-7-14(18-19(15,16)17)13(12)9-11(3)4/h5-7,10-11H,8-9H2,1-4H3,(H2,15,16,17)	C14H23O4P	154	-3120.2286187001405	""	CC(C)CC1=CC=CC(=C1CC(C)C)OP(=O)(O)O	3.93400002	""	PubChem:(54364540)
LFHFWHGOCNNMOH	InChI=1S/C14H25O5P/c1-5-7-8-9-12(13(15)17-6-2)20(16)18-10-14(3,4)11-19-20/h7-8,12H,5-6,9-11H2,1-4H3	C14H25O5P	155	-3120.287029819818	""	CCC=CCC(C(=O)OCC)P1(=O)OCC(C)(C)CO1	2.329	""	PubChem:(102179868)
BUCKSKYFNOZRPF	InChI=1S/C14H23O4P/c1-17-19(2,16)18-9-13(15)14-6-10-3-11(7-14)5-12(4-10)8-14/h10-12H,3-9H2,1-2H3	C14H23O4P	156	-3121.8142175365642	""	COP(=O)(C)OCC(=O)C12CC3CC(CC(C3)C1)C2	2.39100003	""	PubChem:(57302884)
DEYDJJHJWGLNLB	InChI=1S/C14H23O4P/c1-5-17-19(16,18-6-2)13(15)12-10-7-8-11(9-10)14(12,3)4/h7-8,10-12H,5-6,9H2,1-4H3	C14H23O4P	157	-3121.8876927467804	""	CCOP(=O)(C(=O)C1C2C=CC(C2)C1(C)C)OCC	2.63199997	""	PubChem:(102271655)
MXCZMPVNXLRNJZ	InChI=1S/C14H23O4P/c1-5-17-19(15,18-6-2)11-16-14-9-7-8-13(10-14)12(3)4/h7-10,12H,5-6,11H2,1-4H3	C14H23O4P	158	-3122.0654453960865	1-(diethoxyphosphorylmethoxy)-3-propan-2-ylbenzene	CCOP(=O)(COC1=CC(=CC=C1)C(C)C)OCC	3.34100008	""	PubChem:(59132452)
CSRCEYOMEUYWJU	InChI=1S/C14H23O4P/c1-5-16-19(15,17-6-2)11-13-7-9-14(10-8-13)18-12(3)4/h7-10,12H,5-6,11H2,1-4H3	C14H23O4P	159	-3122.306710551025	1-(diethoxyphosphorylmethyl)-4-propan-2-yloxybenzene	CCOP(=O)(CC1=CC=C(C=C1)OC(C)C)OCC	2.875	""	PubChem:(16637948)
PYYAKZDDNRVYDC	InChI=1S/C14H23O4P/c1-13(2,3)9-8-12(18-19(16)17)10(7-11(9)15)14(4,5)6/h7-8,15-17H,1-6H3	C14H23O4P	160	-3122.3657967189947	""	CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)OP(O)O	3.39400005	""	PubChem:(88488817)
KJYAUQRWOBPYOI	InChI=1S/C14H23O4P/c1-10(2)12-6-5-7-13(11(3)4)14(12)18-8-9-19(15,16)17/h5-7,10-11H,8-9H2,1-4H3,(H2,15,16,17)	C14H23O4P	161	-3122.5115693942307	""	CC(C)C1=CC=CC(=C1OCCP(=O)(O)O)C(C)C	2.7980001	""	PubChem:(70796631)
KEMGZXBHHNZPPQ	InChI=1S/C14H23O4P/c1-10(15)17-11(8-9-12(16)18-19-7)14(5,6)13(2,3)4/h11,19H,1-7H3	C14H23O4P	162	-3123.005923679479	""	CC(=O)OC(C#CC(=O)OPC)C(C)(C)C(C)(C)C	3.97900009	""	PubChem:(88942892)
SJSPSHAFQSPMAE	InChI=1S/C14H23O4P/c1-5-17-19(16,18-6-2)13(15)14(4)10(3)11-7-8-12(14)9-11/h7-8,10-12H,5-6,9H2,1-4H3	C14H23O4P	163	-3124.8360135816424	""	CCOP(=O)(C(=O)C1(C)C(C)C2C=CC1C2)OCC	2.227	""	PubChem:(102271652)
XSDREUGMPIPJSI	InChI=1S/C14H23O4P/c1-17-13(15)9-12(14(16)18-2)19-10-5-3-6-11(19)8-4-7-10/h10-12H,3-9H2,1-2H3	C14H23O4P	164	-3124.8854510274045	dimethyl 2-(9-phosphabicyclo[3.3.1]nonan-9-yl)butanedioate	COC(=O)CC(C(=O)OC)P1C2CCCC1CCC2	2.09899998	""	PubChem:(15597049)
PJAXJJHRPQCXHU	InChI=1S/C14H23O4P/c1-10(2)13(14(3,4)5)11-6-8-12(9-7-11)18-19(15,16)17/h6-10,13H,1-5H3,(H2,15,16,17)	C14H23O4P	165	-3124.982015435458	""	CC(C)C(C1=CC=C(C=C1)OP(=O)(O)O)C(C)(C)C	4.35400009	""	PubChem:(70208697)
WFIZXJKIAXNBRY	InChI=1S/C14H25O5P/c1-6-11(7-2)12(13(15)17-8-3)20(16)18-9-14(4,5)10-19-20/h6,11-12H,1,7-10H2,2-5H3	C14H25O5P	166	-3125.9011369396685	""	C=CC(CC)C(C(=O)OCC)P1(=O)OCC(C)(C)CO1	2.20300007	""	PubChem:(102179872)
