inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
JRJIAOGMLCFCQZ	InChI=1S/C15H22O3/c1-10(8-14(16)17)12-9-11(15(2,3)4)6-7-13(12)18-5/h6-7,9-10H,8H2,1-5H3,(H,16,17)	C15H22O3	1746	-3092.2409146400987	""	CC(CC(=O)O)C1=CC(=CC=C1OC)C(C)(C)C	3.85400009	""	PubChem:(82045630)
UFUCTYSVQPEEFA	InChI=1S/C15H22O3/c1-9-4-6-11-12(15(11,2)3)8-10(14(17)18)5-7-13(9)16/h8,11-13,16H,1,4-7H2,2-3H3,(H,17,18)	C15H22O3	1747	-3092.241693730969	Volvalerenic Acid C	C=C1CCC2C(C=C(CCC1O)C(=O)O)C2(C)C	2.76999998	""	PubChem:(46938448)
FATQKJPIDQQQRF	InChI=1S/C15H22O3/c1-10(2)14(15(17)18)13(16)9-11(3)12-7-5-4-6-8-12/h4-8,10-11,13-14,16H,9H2,1-3H3,(H,17,18)	C15H22O3	1748	-3092.274339334698	""	CC(C)C(C(CC(C)C1=CC=CC=C1)O)C(=O)O	3.17799997	""	PubChem:(62396649)
YCVLNRDCWNFTFC	InChI=1S/C15H22O3/c1-4-15(17,5-2)13(14(16)18-6-3)12-10-8-7-9-11-12/h7-11,13,17H,4-6H2,1-3H3	C15H22O3	1749	-3092.280107574495	""	CCC(CC)(C(C1=CC=CC=C1)C(=O)OCC)O	2.86800003	""	PubChem:(16101662)
BBYCCQHOOOMVBW	InChI=1S/C15H24O4/c1-9-3-5-13(10(2)15(16)17)14-7-11(8-19-18)4-6-12(9)14/h7,9-10,12-14,18H,3-6,8H2,1-2H3,(H,16,17)	C15H24O4	1750	-3092.3181905181978	(2R)-2-[(1R,4R,4aS,8aS)-7-(hydroperoxymethyl)-4-methyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-1-yl]propanoic acid	CC1CCC(C(C)C(=O)O)C2C=C(CCC12)COO	2.94300008	""	PubChem:(21628191)
ZIDKZVHWGLCDMJ	InChI=1S/C15H22O3/c1-11-7-6-8-12(2)14(11)17-10-9-13(16)18-15(3,4)5/h6-8H,9-10H2,1-5H3	C15H22O3	1751	-3092.3251959215886	""	CC1=CC=CC(=C1OCCC(=O)OC(C)(C)C)C	3.54999995	""	PubChem:(80157612)
SISIYCACNPQLIC	InChI=1S/C15H24O4/c1-13(2)9-4-7-15(18)10(8-19-12(15)17)14(9,3)6-5-11(13)16/h9-11,16,18H,4-8H2,1-3H3	C15H24O4	1752	-3092.3433550082405	""	CC1(C)C2CCC3(C(COC3=O)C2(C)CCC1O)O	1.90499997	""	PubChem:(10038683 10355688);Natural Products:(UNPD79840 UNPD162707)
MOAMDPFXAVSSQB	InChI=1S/C15H22O3/c16-13(15(1-2-15)14(17)18)12-10-4-8-3-9(6-10)7-11(12)5-8/h8-13,16H,1-7H2,(H,17,18)	C15H22O3	1753	-3092.353998697043	""	C1CC1(C(C2C3CC4CC(C3)CC2C4)O)C(=O)O	3.02900004	""	PubChem:(84096011)
ZIIIIXKNKVFTSB	InChI=1S/C15H24O4/c1-14(2)10-6-5-9(16)12(13(18)19-4)15(10,3)8-7-11(14)17/h10-12,17H,5-8H2,1-4H3	C15H24O4	1754	-3092.4088943114793	""	CC1(C)C2CCC(=O)C(C(=O)OC)C2(C)CCC1O	1.42999995	""	PubChem:(9970262)
RNBUDQVPYIUZME	InChI=1S/C15H22O3/c1-15(2,3)13-8-6-12(7-9-13)14(17)18-11-5-4-10-16/h6-9,16H,4-5,10-11H2,1-3H3	C15H22O3	1755	-3092.419837912587	""	CC(C)(C)C1=CC=C(C=C1)C(=O)OCCCCO	3.78200006	""	PubChem:(126721029)
YZHHVFDJBWSIRA	InChI=1S/C15H22O3/c1-9(14(17)18)13(8-16)15-5-10-2-11(6-15)4-12(3-10)7-15/h10-12,16H,2-8H2,1H3,(H,17,18)	C15H22O3	1756	-3092.4663487350495	""	CC(=C(CO)C12CC3CC(CC(C3)C1)C2)C(=O)O	3.11100006	""	PubChem:(68549787)
ABVKBDLAKPQMJF	InChI=1S/C15H22O3/c1-8-6-12-11(10(3)15(17)18)5-4-9(2)14(12)13(16)7-8/h7,9-12,14H,4-6H2,1-3H3,(H,17,18)	C15H22O3	1757	-3092.4744622298854	(2R)-2-[(1R,4R,4aS,8aR)-4,7-dimethyl-5-oxo-2,3,4,4a,8,8a-hexahydro-1H-naphthalen-1-yl]propanoic acid	CC1=CC(=O)C2C(C)CCC(C(C)C(=O)O)C2C1	2.47099996	""	PubChem:(23251124)
UPSZUBUFVYLBEB	InChI=1S/C15H22O3/c1-9-4-6-13(11(3)15(16)17)14-8-18-10(2)5-7-12(9)14/h5,8-9,11-13H,4,6-7H2,1-3H3,(H,16,17)	C15H22O3	1758	-3092.4778293849154	(2R)-2-[(5aS,6R,9S)-3,6-dimethyl-5,5a,6,7,8,9-hexahydro-2-benzoxepin-9-yl]propanoic acid	CC1CCC(C(C)C(=O)O)C2=COC(=CCC12)C	2.84800005	""	PubChem:(21631196)
JBMWAMBAVZFGPO	InChI=1S/C15H24O4/c1-6-9-10-11-15(12(4)5,13(16)18-7-2)14(17)19-8-3/h1,12H,7-11H2,2-5H3	C15H24O4	1759	-3092.493016874593	""	C#CCCCC(C(C)C)(C(=O)OCC)C(=O)OCC	4.33099985	""	PubChem:(113374694)
HEJRMTWZXSRPQL	InChI=1S/C15H22O3/c1-11(2)12-7-9-13(10-8-12)14(16)5-3-4-6-15(17)18/h7-11,14,16H,3-6H2,1-2H3,(H,17,18)	C15H22O3	1760	-3092.493468903927	""	CC(C)C1=CC=C(C=C1)C(CCCCC(=O)O)O	3.33299994	""	PubChem:(54908402)
HRYFSSFOOZOLFK	InChI=1S/C15H22O3/c1-3-12(2)6-4-5-11-18-14-9-7-13(8-10-14)15(16)17/h7-10,12H,3-6,11H2,1-2H3,(H,16,17)	C15H22O3	1761	-3092.495202510997	4-(5-methylheptoxy)benzoic acid	CCC(C)CCCCOC1=CC=C(C=C1)C(=O)O	5.1170001	""	PubChem:(19913475)
WPAPEQJHCQWQJI	InChI=1S/C15H22O3/c1-3-7-13(15(17)18)14(16)10-11(2)12-8-5-4-6-9-12/h4-6,8-9,11,13-14,16H,3,7,10H2,1-2H3,(H,17,18)	C15H22O3	1762	-3092.505665308863	""	CCCC(C(CC(C)C1=CC=CC=C1)O)C(=O)O	3.23900008	""	PubChem:(83042774)
RSVUVHWOGWOXAY	InChI=1S/C15H22O3/c1-10-5-4-6-11(2)9-14(16)13(8-7-10)12(3)15(17)18/h6-7,13-14,16H,3-5,8-9H2,1-2H3,(H,17,18)/p-1	C15H22O3	1763	-3092.5172697611483	""	CC1=CCC(C(=C)C(=O)O)C(CC(=CCC1)C)O	2.22199988	""	biological;Plantcyc:(CPD-16701);PubChem:(90657346 90657347);Biocyc:(CPD-16701)
HWJOPRRQCMFHNY	InChI=1S/C15H24O4/c1-2-3-4-5-11(16)7-6-10-8-13(17)15-12(10)9-14(18)19-15/h6-7,10-13,15-17H,2-5,8-9H2,1H3	C15H24O4	1764	-3092.5364499356697	""	CCCCCC(C=CC1CC(C2C1CC(=O)O2)O)O	2.11599994	""	PubChem:(125462690)
QMCOIMXFNJGNCH	InChI=1S/C15H22O3/c1-12-6-8-13(9-7-12)11-14(15(17)18)5-3-2-4-10-16/h6-9,14,16H,2-5,10-11H2,1H3,(H,17,18)	C15H22O3	1765	-3092.5566236358345	""	CC1=CC=C(C=C1)CC(CCCCCO)C(=O)O	2.85899997	""	PubChem:(79419104)
HOHPBPOAPPLURU	InChI=1S/C15H22O3/c1-3-11-8-9-12(4-2)13(10-11)14(16)6-5-7-15(17)18/h8-10,14,16H,3-7H2,1-2H3,(H,17,18)	C15H22O3	1766	-3092.5963471958944	""	CCC1=CC=C(CC)C(=C1)C(CCCC(=O)O)O	3.37199998	""	PubChem:(64168143 114207333)
PARHSTXNJNHQHQ	InChI=1S/C15H22O3/c16-14-11-9-13(10-12-14)7-5-3-1-2-4-6-8-15(17)18/h9-12,16H,1-8H2,(H,17,18)	C15H22O3	1767	-3092.6012271448976	Benzenenonanoic acid, 4-hydroxy-	C(CCCCC(=O)O)CCCC1=CC=C(C=C1)O	4.62599993	""	PubChem:(10422225);biological;Natural Products:(UNPD127994)
