inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
UJXZHQIDGWBDQP	InChI=1S/C11H23NO6/c1-12(2)3-4-17-5-6-18-10(8-14)11(16)9(15)7-13/h8-11,13,15-16H,3-7H2,1-2H3	C11H23NO6	30	-174.01972571042492	""	CN(C)CCOCCOC(C=O)C(C(CO)O)O	-2.47099996	""	PubChem:(87415829)
QFBCVZKNBKVTBE	InChI=1S/C11H21NO5/c1-5-6-9(12)10(13)16-8(4)17-11(14)15-7(2)3/h7-9H,5-6,12H2,1-4H3	C11H21NO5	31	-174.10881689137403	""	CCCC(C(=O)OC(C)OC(=O)OC(C)C)N	2.27200007	""	PubChem:(88922093)
RHFBHFFKXBFRTJ	InChI=1S/C11H21NO5/c1-4-16-5-6-17-9(3)11(15)12-8(2)7-10(13)14/h8-9H,4-7H2,1-3H3,(H,12,15)(H,13,14)	C11H21NO5	32	-174.1810431797854	""	CCOCCOC(C)C(=NC(C)CC(=O)O)O	0.435000002	""	PubChem:(119221617)
AMJSTVNAMRIZDR	InChI=1S/C11H21NO5/c1-8(2)17-7-5-10(13)12-9(11(14)15)4-6-16-3/h8-9H,4-7H2,1-3H3,(H,12,13)(H,14,15)	C11H21NO5	33	-174.20458248360816	""	CC(C)OCCC(=NC(CCOC)C(=O)O)O	0.0659999996	""	PubChem:(120702384)
WKKBXDSCMRHONS	InChI=1S/C11H21NO5/c1-3-17-11(15)5-4-10(14)12-7-6-9(13)8-16-2/h9,13H,3-8H2,1-2H3,(H,12,14)	C11H21NO5	34	-175.35334804266654	""	CCOC(=O)CCC(=NCCC(COC)O)O	-0.261999995	""	PubChem:(103877428)
KIMOOSIAJWSZKJ	InChI=1S/C11H23NO6/c1-6-9(14)10(15)11(16-2)8(18-6)5-17-4-7(13)3-12/h6-11,13-15H,3-5,12H2,1-2H3	C11H23NO6	35	-176.22194032298697	""	CC1C(C(C(C(COCC(CN)O)O1)OC)O)O	-2.39899993	""	PubChem:(70659095)
LZPPQMCWOLMZBS	InChI=1S/C11H23NO6/c1-14-3-4-16-5-6-17-7-8-18-11(13)10(9-12)15-2/h10H,3-9,12H2,1-2H3	C11H23NO6	36	-177.56256054627138	""	COCCOCCOCCOC(=O)C(CN)OC	-1.51999998	""	PubChem:(106109521)
PFXDALGHVKCRDD	InChI=1S/C11H21NO5/c1-3-17-8-6-10(13)12-9(11(14)15)5-4-7-16-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	37	-178.20842983683374	""	CCOCCC(=NC(CCCOC)C(=O)O)O	-0.0359999985	""	PubChem:(81077232)
BXVAGOVGCDWZSH	InChI=1S/C11H21NO5/c1-3-6-17-8-5-10(13)12-9(11(14)15)4-7-16-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	38	-178.3586061786058	""	CCCOCCC(=NC(CCOC)C(=O)O)O	-0.0359999985	""	PubChem:(62716992)
OFRKQOAJBBJGBQ	InChI=1S/C11H23NO6/c1-15-4-5-16-6-7-17-8-9-18-11(14)10(12)2-3-13/h10,13H,2-9,12H2,1H3	C11H23NO6	39	-178.62273722194146	""	COCCOCCOCCOC(=O)C(CCO)N	-1.68099999	""	PubChem:(104563026 107825425 114005284)
